City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
40,Avarua,-21.2078,-159.775,80.65,69,40,12.66,CK,2021-09-19 23:05:26
41,Bunia,1.5667,30.25,62.26,91,69,1.45,CD,2021-09-19 23:07:46
42,Itarema,-2.9248,-39.9167,78.53,77,97,16.71,BR,2021-09-19 23:07:46
43,Cayenne,4.9333,-52.3333,83.08,79,0,4.0,GF,2021-09-19 23:06:13
44,Bubaque,11.2833,-15.8333,80.65,82,100,10.54,GW,2021-09-19 23:07:46
45,Padang,-0.9492,100.3543,75.25,84,98,3.51,ID,2021-09-19 23:07:46
46,Bredasdorp,-34.5322,20.0403,50.29,88,0,7.0,ZA,2021-09-19 23:03:36
47,Northam,51.0333,-4.2167,57.65,86,2,6.73,GB,2021-09-19 23:07:47
48,Bluff,-46.6,168.3333,56.8,69,82,16.89,NZ,2021-09-19 23:07:47
49,Quimper,48.0,-4.1,54.43,94,0,5.75,FR,2021-09-19 23:07:47
50,Faya,18.3851,42.4509,66.72,22,60,4.43,SA,2021-09-19 23:07:48
51,Butembo,0.15,29.2833,57.96,97,78,3.18,CD,2021-09-19 23:07:48
52,Lavrentiya,65.5833,-171.0,32.63,59,9,11.65,RU,2021-09-19 23:07:48
53,Ucluelet,48.9329,-125.5528,63.05,88,54,4.61,CA,2021-09-19 23:03:21
54,Ushuaia,-54.8,-68.3,39.13,96,76,3.53,AR,2021-09-19 23:07:49
55,Catabola,-12.15,17.2833,64.4,70,57,5.23,AO,2021-09-19 23:07:49
56,Samana,19.2056,-69.3369,82.36,82,16,7.31,DO,2021-09-19 23:07:49
57,Esperance,-33.8667,121.9,53.31,65,63,10.51,AU,2021-09-19 23:07:49
58,Emerald,-23.5333,148.1667,72.12,52,0,8.39,AU,2021-09-19 23:07:50
59,Bandar-E Lengeh,26.5579,54.8807,88.11,74,2,11.5,IR,2021-09-19 23:07:50
60,Kihei,20.785,-156.4656,87.82,61,40,20.71,US,2021-09-19 23:07:50
61,Nanortalik,60.1432,-45.2371,37.22,89,46,8.77,GL,2021-09-19 23:07:51
62,Saskylakh,71.9167,114.0833,28.35,93,100,4.94,RU,2021-09-19 23:07:51
63,Vigevano,45.3117,8.8611,60.22,84,25,6.06,IT,2021-09-19 23:07:51
64,Severo-Kurilsk,50.6789,156.125,50.59,87,99,16.64,RU,2021-09-19 23:07:52
65,Fortuna,40.5982,-124.1573,74.19,61,49,5.99,US,2021-09-19 23:07:52
66,Castro,-24.7911,-50.0119,64.31,95,51,4.27,BR,2021-09-19 23:07:52
67,Camana,-16.6228,-72.7111,60.85,83,69,6.6,PE,2021-09-19 23:07:53
68,Arraial Do Cabo,-22.9661,-42.0278,73.26,94,75,9.22,BR,2021-09-19 23:07:53
69,Vao,-22.6667,167.4833,67.28,66,100,13.62,NC,2021-09-19 23:07:53
70,Hobart,-42.8794,147.3294,48.25,76,40,3.0,AU,2021-09-19 23:07:45
71,Atuona,-9.8,-139.0333,78.31,77,33,21.56,PF,2021-09-19 23:04:02
72,Inzhavino,52.3185,42.4937,46.99,73,100,19.75,RU,2021-09-19 23:07:54
73,Nhamunda,-2.1861,-56.7131,78.08,77,69,3.49,BR,2021-09-19 23:07:54
74,Lagoa,39.05,-27.9833,68.65,63,62,11.97,PT,2021-09-19 23:07:54
75,Chokurdakh,70.6333,147.9167,28.26,70,95,9.48,RU,2021-09-19 23:07:55
76,Manzhouli,49.6,117.4333,46.87,64,87,2.3,CN,2021-09-19 23:07:55
77,Belaya Gora,68.5333,146.4167,28.63,69,100,13.85,RU,2021-09-19 23:07:56
78,Vila Velha,-20.3297,-40.2925,76.95,78,75,3.44,BR,2021-09-19 23:05:10
79,Pacific Grove,36.6177,-121.9166,82.58,73,1,7.0,US,2021-09-19 23:03:01
80,Bethel,41.3712,-73.414,70.48,73,1,3.44,US,2021-09-19 23:04:47
